Tổng số lượng BC cảnh báo,"Logic: 
- %GTC của 7 ngày gần nhất
- HN và HCM lấy full hàng mới và hàng tồn
- Các tỉnh khác lấy hàng mới ca 1 + tồn

- Nếu HCM và HN < 50% => Cảnh báo
- Nếu các tỉnh khác < 45% => Cảnh báo
- Nếu %GTC < 70% Mốc %GTC tốt nhất trong lịch sử => Cảnh báo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9/11/2026,,9/10/2026,,08/09/2026,,,,11/09/2026,,,,,,,,Thời gian cập nhật 12/09/2026 10:01:06,,,,,,,
Vùng,Tỉnh,ID Bưu cục,Tên Bưu cục,%GTC_TB 7 ngày (1),%GTC_tốt nhất (6 tháng gần nhất. Số tính theo tuần) (2),%Tỷ trọng (1)/(2),%GTC_N-1,VolGTC_N-1,%GTC_N-2,VolGTC_N-2,%GTC_N-3,VolGTC_N-3,Tỷ trọng vol cần giao / toàn quốc ngày N-1,VolGTC_TB 7 ngày,"Tổng Vol cần giao
(3) + (4)","Vol_Tồn
(3)","Vol_Mới
(4)",Cảnh báo,Số ngày nằm trong danh sách cảnh báo - 3 tháng gần nhất,Số ngày dự kiến clear hàng,Số lượng nhân sự có gán đơn giao N-1,Điều tiết hàng (Giới hạn hàng về bưu cục),Backlog tồn đọng,%Backlog tồn đọng đã gán,Backlog >5 ngày,%FD_N-1 (ALL KH),%OntimeSLA_N-1 (TTS),%OPR_N-1 (TTS),%VolGTC <24h_N-1 (TTS),Volume tạo mới_N-1 (ALL KH)
NTB,Đắk Nông,22394000,(DNO) Quảng Tín,18.07%,59.86%,30.19%,19.87%,21900.00%,18.56%,199,0.22,223,0,198,1102,783,319,Cảnh báo GTC < 45%,86,6,,,1016,4.33%,309,,75.41%,,68.85%,283
NTB,Lâm Đồng,22389000,(LDO) Đức Trọng 1,18.99%,60.42%,31.43%,16.01%,19800.00%,23.61%,301,0.17,189,0,205,1237,945,292,Cảnh báo GTC < 45%,68,6,,,1318,22.53%,358,,39.02%,92.00%,26.83%,336
NTB,Đắk Nông,20269000,(DNO) Kiến Đức,30.17%,63.28%,47.68%,31.59%,33200.00%,33.98%,297,0.31,272,0,290,1051,529,522,Cảnh báo GTC < 45%,77,4,,,998,62.42%,148,,75.00%,37.50%,59.21%,369
NTB,Lâm Đồng,22051000,(LDO) Lang Biang - Đà Lạt 1,36.13%,63.95%,56.50%,40.59%,48100.00%,41.55%,460,0.27,303,0,397,1185,555,630,Cảnh báo GTC < 45%,87,3,,,991,48.23%,49,,51.47%,0.00%,43.38%,448
NTB,Lâm Đồng,20942000,(LDO) Di Linh,37.50%,58.86%,63.72%,38.34%,81400.00%,39.46%,855,0.34,568,0,693,2123,1253,870,Cảnh báo GTC < 45%,30,3,,,1774,86.75%,236,,62.36%,,48.88%,951
NTB,Lâm Đồng,21126000,(LDO) Xuân Hương - Đà Lạt,37.88%,65.10%,58.18%,27.80%,59300.00%,32.45%,623,0.33,507,0,600,2133,1169,964,Cảnh báo GTC < 45%,2,4,,,2310,5.58%,204,,78.02%,76.47%,53.85%,774
NTB,Đắk Nông,20590000,(DNO) Tuy Đức,38.42%,64.66%,59.42%,41.98%,30100.00%,44.98%,296,0.47,337,0,261,717,317,400,Cảnh báo GTC < 45%,18,3,,,655,53.59%,21,,55.56%,,41.27%,310
NTB,Khánh Hòa,22830000,(KHO) Cam Linh,41.59%,49.92%,83.31%,28.22%,54600.00%,36.40%,668,0.45,703,0,654,1935,1056,879,Cảnh báo GTC < 45%,81,3,,,2243,57.74%,114,,72.92%,73.41%,63.19%,938
NTB,Lâm Đồng,22425000,(LDO) Tân Hà Lâm Hà,44.06%,50.12%,87.92%,40.58%,33400.00%,54.43%,516,0.42,387,0,377,823,385,438,Cảnh báo GTC < 45%,76,2,,,876,50.80%,66,,62.77%,100.00%,46.72%,424
NTB,Đắk Nông,20269003,(DNO) Nhân Cơ,44.45%,71.51%,62.17%,44.99%,17500.00%,49.39%,203,0.36,120,0,156,389,270,119,Cảnh báo GTC < 45%,30,2,,,370,70.81%,52,,76.12%,53.45%,55.22%,202
NTB,Khánh Hòa,20320000,(KHO) Tây Nha Trang,44.97%,68.64%,65.51%,42.50%,55000.00%,32.88%,432,0.44,479,0,478,1294,858,436,Cảnh báo GTC < 45%,2,3,,,1609,24.49%,11,,57.76%,73.17%,47.41%,"1,148"
