warehouse_id,Bưu cục,BC,Tỉnh,AM
20797000,Kho Chuyển Tiếp Đắk Nông,Kho Chuyển Tiếp Đắk Nông,Đắk Nông,Trần Văn Phước
22242000,(DNO) Bắc Gia Nghĩa,(DNO) Bắc Gia Nghĩa,Đắk Nông,Trần Văn Phước
22048000,(DNO) Đông Gia Nghĩa,(DNO) Đông Gia Nghĩa,Đắk Nông,Trần Văn Phước
20269000,(DNO) Kiến Đức,(DNO) Kiến Đức,Đắk Nông,Trần Văn Phước
22394000,(DNO) Quảng Tín,(DNO) Quảng Tín,Đắk Nông,Trần Văn Phước
20673000,(DNO) Cư Jút,(DNO) Cư Jút,Đắk Nông,Trần Thị Nhung
21477000,(DNO) Đức An,(DNO) Đức An,Đắk Nông,Trần Thị Nhung
2309,(DNO) Đức Lập,(DNO) Đức Lập,Đắk Nông,Trần Thị Nhung
20591000,(DNO) Krông Nô,(DNO) Krông Nô,Đắk Nông,Trần Thị Nhung
21364000,(DNO) Quảng Khê,(DNO) Quảng Khê,Đắk Nông,Trần Thị Nhung
21150000,(DNO) Quảng Sơn,(DNO) Quảng Sơn,Đắk Nông,Trần Thị Nhung
22086000,(DNO) Trường Xuân,(DNO) Trường Xuân,Đắk Nông,Trần Thị Nhung
20590000,(DNO) Tuy Đức,(DNO) Tuy Đức,Đắk Nông,Trần Thị Nhung
21659000,(DNO) ĐL Nam Gia Nghĩa,(DNO) ĐL Nam Gia Nghĩa,Đắk Nông,Trần Thị Nhung
20942000,(LDO) Di Linh,(LDO) Di Linh,Lâm Đồng,Trầm Hữu Tiến
22389000,(LDO) Đức Trọng 1,(LDO) Đức Trọng 1,Lâm Đồng,Trầm Hữu Tiến
21516000,(LDO) Đức Trọng 2,(LDO) Đức Trọng 2,Lâm Đồng,Trầm Hữu Tiến
22830000,(KHO) Cam Linh,(KHO) Cam Linh,Khánh Hòa,Thái Thị Thanh Thư
22746000,(KHO) Nam Nha Trang 1,(KHO) Nam Nha Trang 1,Khánh Hòa,Thái Thị Thanh Thư
22704000,(KHO) Nam Nha Trang 2,(KHO) Nam Nha Trang 2,Khánh Hòa,Thái Thị Thanh Thư
22363000,(KHO) Nam Nha Trang 3,(KHO) Nam Nha Trang 3,Khánh Hòa,Thái Thị Thanh Thư
2502,(KHO) Nam Nha Trang 5,(KHO) Nam Nha Trang 5,Khánh Hòa,Thái Thị Thanh Thư
20495000,(KHO) Nha Trang,(KHO) Nha Trang,Khánh Hòa,Phan Đình Duy
20320000,(KHO) Tây Nha Trang,(KHO) Tây Nha Trang,Khánh Hòa,Phan Đình Duy
20784000,(KHO) Khánh Sơn,(KHO) Khánh Sơn,Khánh Hòa,Phan Đình Duy
21479000,(KHO) Bắc Cam Ranh,(KHO) Bắc Cam Ranh,Khánh Hòa,Phạm Bá Thành Công
2399,(KHO) Bắc Nha Trang,(KHO) Bắc Nha Trang,Khánh Hòa,Phạm Bá Thành Công
21569000,(KHO) Đông Ninh Hòa,(KHO) Đông Ninh Hòa,Khánh Hòa,Phạm Bá Thành Công
20694000,(KHO) Ninh Hòa 1,(KHO) Ninh Hòa 1,Khánh Hòa,Phạm Bá Thành Công
20543000,(KHO) Ninh Hòa 2,(KHO) Ninh Hòa 2,Khánh Hòa,Phạm Bá Thành Công
21722000,(KHO) Tu Bông,(KHO) Tu Bông,Khánh Hòa,Phạm Bá Thành Công
21046000,(KHO) Vạn Ninh,(KHO) Vạn Ninh,Khánh Hòa,Phạm Bá Thành Công
1909,Kho Trung Chuyển Khánh Hòa,Kho Trung Chuyển Khánh Hòa,Khánh Hòa,Nguyễn Tiến Lực
22915000,Kho Chuyển Tiếp Bảo Lộc-Lâm Đồng,Kho Chuyển Tiếp Bảo Lộc-Lâm Đồng,Lâm Đồng,Nguyễn Tiến Lực
20588000,(KHO) Cam Lâm 2,(KHO) Cam Lâm 2,Khánh Hòa,Nguyễn Thanh Long
20745000,Kho Chuyển Tiếp Bình Thuận,Kho Chuyển Tiếp Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
22452000,(BTH) Phú Quý,(BTH) Phú Quý,Bình Thuận,Nguyễn Ngọc Khánh
21396000,(BTH) Hàm Thắng,(BTH) Hàm Thắng,Bình Thuận,Nguyễn Ngọc Khánh
20144000,(BTH) Mũi Né,(BTH) Mũi Né,Bình Thuận,Nguyễn Ngọc Khánh
21320000,(BTH) Phú Thủy,(BTH) Phú Thủy,Bình Thuận,Nguyễn Ngọc Khánh
20633000,(BTH) Bắc Bình,(BTH) Bắc Bình,Bình Thuận,Nguyễn Ngọc Khánh
21403000,(BTH) Hàm Liêm,(BTH) Hàm Liêm,Bình Thuận,Nguyễn Ngọc Khánh
22483000,(BTH) Hàm Thuận,(BTH) Hàm Thuận,Bình Thuận,Nguyễn Ngọc Khánh
22934000,(BTH) Lương Sơn,(BTH) Lương Sơn,Bình Thuận,Nguyễn Ngọc Khánh
20336000,Kho Chuyển Tiếp Đức Trọng-Lâm Đồng,Kho Chuyển Tiếp Đức Trọng-Lâm Đồng,Lâm Đồng,Nguyễn Minh Hoàng
21468000,(LDO) 3 Bảo Lộc,(LDO) 3 Bảo Lộc,Lâm Đồng,Nguyễn Lê Nguyên Vũ
20669000,(LDO) Cát Tiên,(LDO) Cát Tiên,Lâm Đồng,Nguyễn Lê Nguyên Vũ
1896,(LDO) Đạ Huoai,(LDO) Đạ Huoai,Lâm Đồng,Nguyễn Lê Nguyên Vũ
20663000,(LDO) Đạ Tẻh,(LDO) Đạ Tẻh,Lâm Đồng,Nguyễn Lê Nguyên Vũ
21331000,(KHO) Cam Lâm 1,(KHO) Cam Lâm 1,Khánh Hòa,Nguyễn Hoàng Phi
22774000,(KHO) Diên Khánh 1,(KHO) Diên Khánh 1,Khánh Hòa,Nguyễn Hoàng Phi
20143000,(KHO) Diên Khánh 2,(KHO) Diên Khánh 2,Khánh Hòa,Nguyễn Hoàng Phi
22793000,(KHO) Diên Thọ,(KHO) Diên Thọ,Khánh Hòa,Nguyễn Hoàng Phi
20558000,(KHO) Khánh Vĩnh,(KHO) Khánh Vĩnh,Khánh Hòa,Nguyễn Hoàng Phi
21298000,(BTH) Liên Hương,(BTH) Liên Hương,Bình Thuận,Nguyễn Duy Long
22549000,(BTH) Phan Rí Cửa,(BTH) Phan Rí Cửa,Bình Thuận,Nguyễn Duy Long
20150000,(NTH) Bảo An,(NTH) Bảo An,Ninh Thuận,Nguyễn Duy Long
20648000,(NTH) Ninh Chử,(NTH) Ninh Chử,Ninh Thuận,Nguyễn Duy Long
22861000,(NTH) Phan Rang,(NTH) Phan Rang,Ninh Thuận,Nguyễn Duy Long
20316000,(NTH) Ninh Sơn,(NTH) Ninh Sơn,Ninh Thuận,Nguyễn Duy Long
20499000,(NTH) Phước Dinh,(NTH) Phước Dinh,Ninh Thuận,Nguyễn Duy Long
22357000,(NTH) Thuận Nam,(NTH) Thuận Nam,Ninh Thuận,Nguyễn Duy Long
22357001,(NTH) ĐL Cà Ná,(NTH) ĐL Cà Ná,Ninh Thuận,Nguyễn Duy Long
22356000,(NTH) ĐL Ninh Phước,(NTH) ĐL Ninh Phước,Ninh Thuận,Nguyễn Duy Long
22263000,(NTH) ĐL Xuân Hải,(NTH) ĐL Xuân Hải,Ninh Thuận,Nguyễn Duy Long
22312000,(LDO) Lâm Viên - Đà Lạt 1,(LDO) Lâm Viên - Đà Lạt 1,Lâm Đồng,Lê Văn Trường
21537000,(LDO) Lâm Viên - Đà Lạt 2,(LDO) Lâm Viên - Đà Lạt 2,Lâm Đồng,Lê Văn Trường
22116000,(LDO) Xuân Trường - Đà Lạt,(LDO) Xuân Trường - Đà Lạt,Lâm Đồng,Lê Văn Trường
22255000,(LDO) Hiệp Thạnh,(LDO) Hiệp Thạnh,Lâm Đồng,Lê Văn Trường
20849000,(LDO) Ninh Gia,(LDO) Ninh Gia,Lâm Đồng,Lê Văn Trường
20687000,(BTH) Hàm Tân,(BTH) Hàm Tân,Bình Thuận,Lê Thanh Nhựt
21065000,(BTH) Hàm Thuận Nam,(BTH) Hàm Thuận Nam,Bình Thuận,Lê Thanh Nhựt
21290000,(BTH) Tuyên Quang,(BTH) Tuyên Quang,Bình Thuận,Lê Thanh Nhựt
22051000,(LDO) Lang Biang - Đà Lạt 1,(LDO) Lang Biang - Đà Lạt 1,Lâm Đồng,Lê Minh Đại
21687000,(LDO) Lang Biang - Đà Lạt 2,(LDO) Lang Biang - Đà Lạt 2,Lâm Đồng,Lê Minh Đại
21126000,(LDO) Xuân Hương - Đà Lạt,(LDO) Xuân Hương - Đà Lạt,Lâm Đồng,Lê Minh Đại
21377000,(LDO) Đơn Dương,(LDO) Đơn Dương,Lâm Đồng,Lê Minh Đại
20670000,(LDO) Đam Rông 3,(LDO) Đam Rông 3,Lâm Đồng,Huỳnh Thị Kim Chi
21294000,(LDO) Đinh Văn Lâm Hà,(LDO) Đinh Văn Lâm Hà,Lâm Đồng,Huỳnh Thị Kim Chi
21458000,(LDO) Nam Ban Lâm Hà,(LDO) Nam Ban Lâm Hà,Lâm Đồng,Huỳnh Thị Kim Chi
