Cấp Quản Lý,Chi tiết,Loại Hàng,Loại Khối Lượng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-29 - Thứ 7,114,"99,12%","71,05%","3,51%","17,35",,,,,,,,#VALUE!,114,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,3. 10-15Kg,2026-08-29 - Thứ 7,82,"95,12%","81,71%","0,00%","17,64",,,,,,,,#VALUE!,82,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-25 - Thứ 3,71,"100,00%","76,06%","1,41%","19,00",,,,,,,,#VALUE!,71,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-21 - Thứ 6,67,"100,00%","79,10%","4,48%","17,51",,,,,,,,#VALUE!,67,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,3. 10-15Kg,2026-08-25 - Thứ 3,66,"100,00%","63,64%","0,00%","19,33",,,,,,,,#VALUE!,66,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-18 - Thứ 3,65,"100,00%","80,00%","1,54%","18,10",,,,,,,,#VALUE!,65,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-24 - Thứ 2,61,"100,00%","78,69%","0,00%","18,02",,,,,,,,#VALUE!,61,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,3. 10-15Kg,2026-08-21 - Thứ 6,61,"100,00%","86,89%","1,64%","18,36",,,,,,,,#VALUE!,61,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-20 - Thứ 5,61,"100,00%","65,57%","3,28%","16,93",,,,,,,,#VALUE!,61,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,4. >=15Kg,2026-08-27 - Thứ 5,61,"100,00%","67,21%","4,92%","16,51",,,,,,,,#VALUE!,61,Đắk Nông,NTB,Trần Thị Nhung
