Cấp quản lý,Chi tiết,Ca,Time,Volume,%Gán,%LTC,%Đóng kiện,%LC,Leadtime,Sản Lượng Lấy Thành Công,Sản Lượng Gán,Sản Lượng Chưa Gán,% Chưa Gán,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-10 - Thứ 2,83,98.80%,93.98%,86.75%,92.77%,5.53,78,82,1,1.20%,83,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-07 - Thứ 6,132,100.00%,98.48%,95.45%,97.73%,6.45,130,132,0,0.00%,132,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-12 - Thứ 4,120,100.00%,95.83%,95.83%,95.83%,12.11,115,120,0,0.00%,120,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,74,100.00%,94.59%,94.59%,90.54%,8.81,70,74,0,0.00%,74,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-20 - Thứ 5,44,100.00%,65.91%,59.09%,65.91%,5.42,29,44,0,0.00%,44,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-05 - Thứ 4,113,100.00%,96.46%,92.04%,95.58%,6.15,109,113,0,0.00%,113,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-17 - Thứ 2,117,100.00%,74.36%,73.50%,74.36%,6.37,87,117,0,0.00%,117,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-21 - Thứ 6,70,100.00%,84.29%,81.43%,84.29%,5.09,59,70,0,0.00%,70,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-03 - Thứ 2,136,100.00%,97.06%,96.32%,97.06%,5.82,132,136,0,0.00%,136,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-04 - Thứ 3,144,100.00%,96.53%,95.14%,96.53%,5.14,139,144,0,0.00%,144,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-08 - Thứ 7,129,100.00%,73.64%,71.32%,73.64%,7.3,95,129,0,0.00%,129,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-11 - Thứ 3,60,100.00%,95.00%,91.67%,90.00%,9.6,57,60,0,0.00%,60,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-06 - Thứ 5,93,100.00%,91.40%,91.40%,91.40%,5.16,85,93,0,0.00%,93,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-29 - Thứ 7,28,100.00%,92.86%,89.29%,92.86%,7.29,26,28,0,0.00%,28,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-26 - Thứ 4,28,96.43%,89.29%,85.71%,89.29%,7.13,25,27,1,3.57%,28,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-14 - Thứ 6,28,100.00%,89.29%,89.29%,89.29%,8.88,25,28,0,0.00%,28,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-13 - Thứ 5,30,100.00%,100.00%,100.00%,100.00%,7.83,30,30,0,0.00%,30,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-28 - Thứ 6,32,100.00%,84.38%,84.38%,84.38%,8.33,27,32,0,0.00%,32,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-16 - Chủ Nhật,33,100.00%,96.97%,96.97%,96.97%,6.09,32,33,0,0.00%,33,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-30 - Chủ Nhật,34,100.00%,91.18%,79.41%,82.35%,7.93,31,34,0,0.00%,34,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-15 - Thứ 7,35,100.00%,94.29%,88.57%,94.29%,6.35,33,35,0,0.00%,35,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-22 - Thứ 7,37,100.00%,89.19%,86.49%,89.19%,4.63,33,37,0,0.00%,37,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-27 - Thứ 5,39,100.00%,92.31%,87.18%,92.31%,7.56,36,39,0,0.00%,39,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-18 - Thứ 3,46,100.00%,89.13%,89.13%,89.13%,7.93,41,46,0,0.00%,46,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-23 - Chủ Nhật,49,100.00%,69.39%,59.18%,69.39%,7.14,34,49,0,0.00%,49,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-19 - Thứ 4,49,97.96%,69.39%,65.31%,69.39%,5.69,34,48,1,2.04%,49,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-25 - Thứ 3,54,100.00%,100.00%,88.89%,100.00%,7.58,54,54,0,0.00%,54,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-24 - Thứ 2,56,100.00%,91.07%,89.29%,91.07%,4.94,51,56,0,0.00%,56,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-17 - Thứ 2,2,100.00%,50.00%,50.00%,50.00%,21,1,2,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-30 - Chủ Nhật,2,100.00%,100.00%,100.00%,100.00%,33.5,2,2,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-27 - Thứ 5,2,100.00%,100.00%,100.00%,100.00%,35,2,2,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-15 - Thứ 7,3,100.00%,100.00%,100.00%,66.67%,32.33,3,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-28 - Thứ 6,3,100.00%,0.00%,0.00%,0.00%,,0,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-16 - Chủ Nhật,3,100.00%,66.67%,66.67%,66.67%,34,2,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-08 - Thứ 7,4,100.00%,100.00%,75.00%,100.00%,28.67,4,4,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-25 - Thứ 3,5,100.00%,100.00%,100.00%,100.00%,25,5,5,0,0.00%,0,Bình Thuận,NTB,AM Khánh
