ngay_tao_don,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Đạ Oai,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,SME,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Ma Đa Guôi,1896,(LDO) Đạ Huoai,TTS,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Hà Lâm,1896,(LDO) Đạ Huoai,TTS,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Bà Gia,1896,(LDO) Đạ Huoai,TTS,1. 10-20kg,2
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,TTS,1. 10-20kg,2
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Ma Đa Guôi,1896,(LDO) Đạ Huoai,SME,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Ma Đa Guôi,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,6
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Ma Đa Guôi,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Bà Gia,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Hà Lâm,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,SHOPEE Bulky,1. 10-20kg,6
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Bà Gia,1896,(LDO) Đạ Huoai,SME,1. 10-20kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Ma Đa Guôi,1896,(LDO) Đạ Huoai,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Đạ Oai,1896,(LDO) Đạ Huoai,TTS,2. 20-30kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Ma Đa Guôi,1896,(LDO) Đạ Huoai,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Hà Lâm,1896,(LDO) Đạ Huoai,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,SME,3. 30-50kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ M'ri,1896,(LDO) Đạ Huoai,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Sắk,2309,(DNO) Đức Lập,TTS,1. 10-20kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Thuận An,2309,(DNO) Đức Lập,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Minh,2309,(DNO) Đức Lập,SHOPEE Bulky,1. 10-20kg,3
