Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-16 - Chủ Nhật,175,100.00%,84.00%,0.00%,10.78,147,0,175,0,28,0,0.00%,16.00%,175,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-15 - Thứ 7,238,99.58%,79.83%,0.00%,11.18,190,0,237,0,48,1,0.42%,20.17%,238,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-25 - Thứ 7,360,100.00%,81.11%,0.00%,16.55,292,0,360,0,68,0,0.00%,18.89%,360,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-29 - Thứ 4,256,99.61%,86.33%,0.00%,14.37,221,0,255,0,35,1,0.39%,13.67%,256,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-02 - Chủ Nhật,234,100.00%,84.62%,0.00%,10.61,198,0,234,0,36,0,0.00%,15.38%,234,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-27 - Thứ 2,253,99.60%,84.19%,0.00%,14.62,213,0,252,0,40,1,0.40%,15.81%,253,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-28 - Thứ 3,202,99.01%,83.66%,0.00%,6.8,169,0,200,0,33,2,0.99%,16.34%,202,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-14 - Thứ 6,232,99.57%,79.31%,0.00%,14.31,184,0,231,0,48,1,0.43%,20.69%,232,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-08 - Thứ 7,266,99.62%,77.07%,0.00%,14.28,205,0,265,0,61,1,0.38%,22.93%,266,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-20 - Thứ 2,246,99.59%,86.99%,0.00%,11.5,214,0,245,0,32,1,0.41%,13.01%,246,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-23 - Thứ 5,404,100.00%,88.12%,0.00%,15.98,356,0,404,0,48,0,0.00%,11.88%,404,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-07 - Thứ 6,325,100.00%,80.00%,0.00%,12.97,260,0,325,0,65,0,0.00%,20.00%,325,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-24 - Thứ 6,226,100.00%,89.82%,0.00%,16.52,203,0,226,0,23,0,0.00%,10.18%,226,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-11 - Thứ 3,276,92.75%,76.81%,0.00%,9.8,212,0,256,0,64,20,7.25%,23.19%,276,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-22 - Thứ 4,150,100.00%,87.33%,0.00%,13.61,131,0,150,0,19,0,0.00%,12.67%,150,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-01 - Thứ 7,211,99.53%,81.99%,0.00%,13.58,173,0,210,0,38,1,0.47%,18.01%,211,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-05 - Thứ 4,265,100.00%,86.42%,0.00%,13.27,229,0,265,0,36,0,0.00%,13.58%,265,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-21 - Thứ 3,217,100.00%,84.79%,0.00%,11.58,184,0,217,0,33,0,0.00%,15.21%,217,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-13 - Thứ 5,309,99.68%,83.82%,0.00%,14.44,259,0,308,0,50,1,0.32%,16.18%,309,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-10 - Thứ 2,226,100.00%,82.74%,0.00%,12.08,187,0,226,0,39,0,0.00%,17.26%,226,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-26 - Chủ Nhật,247,99.60%,86.23%,0.00%,12.08,213,0,246,0,34,1,0.40%,13.77%,247,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-31 - Thứ 6,254,99.61%,87.80%,0.00%,13.16,223,0,253,0,31,1,0.39%,12.20%,254,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-03 - Thứ 2,255,100.00%,85.88%,0.00%,13.6,219,0,255,0,36,0,0.00%,14.12%,255,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-06 - Thứ 5,251,99.60%,84.86%,0.00%,14.51,213,0,250,0,38,1,0.40%,15.14%,251,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-30 - Thứ 5,288,99.31%,87.85%,0.00%,15.81,253,0,286,0,35,2,0.69%,12.15%,288,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-04 - Thứ 3,208,100.00%,87.50%,0.00%,14.06,182,0,208,0,26,0,0.00%,12.50%,208,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,328,100.00%,80.49%,0.00%,11.91,264,0,328,0,64,0,0.00%,19.51%,328,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-08-12 - Thứ 4,101,98.02%,85.15%,0.00%,16.99,86,0,99,0,15,2,1.98%,14.85%,101,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 2,2026-08-12 - Thứ 4,99,94.95%,85.86%,0.00%,5.48,85,0,94,0,14,5,5.05%,14.14%,99,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-23 - Thứ 5,43,100.00%,37.21%,4.65%,49.19,16,2,43,2,25,0,0.00%,58.14%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-25 - Thứ 7,62,100.00%,27.42%,8.06%,51,17,5,62,5,40,0,0.00%,64.52%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-21 - Thứ 3,61,98.36%,27.87%,6.56%,42.41,17,4,60,4,40,1,1.64%,65.57%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-03 - Thứ 2,60,100.00%,31.67%,6.67%,36.79,19,4,60,4,37,0,0.00%,61.66%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-04 - Thứ 3,69,100.00%,28.99%,8.70%,49.4,20,6,69,6,43,0,0.00%,62.31%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-05 - Thứ 4,64,100.00%,32.81%,6.25%,45.33,21,4,64,4,39,0,0.00%,60.94%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-06 - Thứ 5,73,100.00%,28.77%,4.11%,46.38,21,3,73,3,49,0,0.00%,67.12%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-27 - Thứ 2,82,98.78%,29.27%,9.76%,38.63,24,8,81,8,50,1,1.22%,60.97%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-07 - Thứ 6,83,100.00%,30.12%,10.84%,52.08,25,9,83,9,49,0,0.00%,59.04%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-24 - Thứ 6,70,100.00%,35.71%,4.29%,45.48,25,3,70,3,42,0,0.00%,60.00%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-01 - Thứ 7,62,100.00%,41.94%,4.84%,52,26,3,62,3,33,0,0.00%,53.22%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-31 - Thứ 6,58,100.00%,44.83%,0.00%,49.19,26,0,58,0,32,0,0.00%,55.17%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-29 - Thứ 4,73,97.26%,36.99%,10.96%,52.85,27,8,71,8,38,2,2.74%,52.05%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-28 - Thứ 3,80,98.75%,35.00%,7.50%,46.79,28,6,79,6,46,1,1.25%,57.50%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-13 - Thứ 5,73,98.63%,39.73%,10.96%,62.38,29,8,72,8,36,1,1.37%,49.31%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-15 - Thứ 7,86,98.84%,34.88%,6.98%,52.47,30,6,85,6,50,1,1.16%,58.14%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-22 - Thứ 4,67,100.00%,47.76%,5.97%,49.88,32,4,67,4,31,0,0.00%,46.27%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-30 - Thứ 5,66,98.48%,48.48%,10.61%,53.75,32,7,65,7,27,1,1.52%,40.91%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-02 - Chủ Nhật,65,100.00%,50.77%,7.69%,46.27,33,5,65,5,27,0,0.00%,41.54%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-14 - Thứ 6,79,98.73%,43.04%,2.53%,45.47,34,2,78,2,43,1,1.27%,54.43%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-11 - Thứ 3,89,95.51%,39.33%,6.74%,51.06,35,6,85,6,48,4,4.49%,53.93%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-16 - Chủ Nhật,92,98.91%,40.22%,4.35%,49.08,37,4,91,4,51,1,1.09%,55.43%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-26 - Chủ Nhật,97,100.00%,41.24%,3.09%,44.1,40,3,97,3,54,0,0.00%,55.67%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-07-20 - Thứ 2,86,100.00%,47.67%,9.30%,49.07,41,8,86,8,37,0,0.00%,43.03%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-08 - Thứ 7,110,99.09%,38.18%,10.91%,43.9,42,12,109,12,56,1,0.91%,50.91%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-09 - Chủ Nhật,111,100.00%,39.64%,9.01%,49.82,44,10,111,10,57,0,0.00%,51.35%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-12 - Thứ 4,108,93.52%,46.30%,10.19%,41.5,50,11,101,11,47,7,6.48%,43.51%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Tồn,2026-08-10 - Thứ 2,116,99.14%,48.28%,3.45%,49.13,56,4,115,4,56,1,0.86%,48.27%,0,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức An,Hàng Mới Ca 1,2026-08-15 - Thứ 7,122,100.00%,80.33%,0.00%,10.17,98,0,122,0,24,0,0.00%,19.67%,122,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức An,Hàng Mới Ca 1,2026-07-25 - Thứ 7,188,98.94%,84.57%,0.00%,14.24,159,0,186,0,29,2,1.06%,15.43%,188,Đắk Nông,NTB,Trần Thị Nhung
NTB - Đắk Nông,(DNO) Đức An,Hàng Mới Ca 1,2026-07-29 - Thứ 4,139,100.00%,80.58%,0.00%,12.07,112,0,139,0,27,0,0.00%,19.42%,139,Đắk Nông,NTB,Trần Thị Nhung
