hen_lay,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Sắk,2309,(DNO) Đức Lập,Khác,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Suối Tân,21331000,(KHO) Cam Lâm 1,SME,>50kg,2
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Đắk Sin,22394000,(DNO) Quảng Tín,SME,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Nam,Xã Tân Thuận,21067000,(BTH) Tân Hải,SME,>50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Hải,Xã Vĩnh Hải,20648000,(NTH) Ninh Chử,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Glong,Xã Quảng Sơn,21150000,(DNO) Quảng Sơn,Khác,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,20269000,(DNO) Kiến Đức,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Đan Phượng,22425000,(LDO) Tân Hà Lâm Hà,Khác,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Cam Hải Tây,20588000,(KHO) Cam Lâm 2,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đam Rông,Xã Phi Liêng,20670000,(LDO) Đam Rông 3,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Thành,23015000,(LDO) Bảo Lâm 3,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Phú Sơn,21294000,(LDO) Đinh Văn Lâm Hà,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Đạ Oai,1896,(LDO) Đạ Huoai,SME,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Thị trấn Võ Xu,21456000,(BTH) Đức Linh,Khác,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Tân,Xã Tân Thắng,21594000,(BTH) Phước Hội,Shopee-Bulky,>50kg,2
2026-07-24,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Tiến Thành,21290000,(BTH) Tuyên Quang,Shopee-Bulky,>50kg,2
2026-07-24,NTB,Đắk Nông,Huyện Đắk Song,Xã Nam Bình,21477000,(DNO) Đức An,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Tánh Linh,Xã Huy Khiêm,2357,(BTH) Đồng Kho,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Quảng Tín,22394000,(DNO) Quảng Tín,SME,>50kg,1
